ALA,ARG,ASN,ASP,CYS,GLN,GLU,GLY,HIS,ILE,LEU,LYS,MET,PHE,PRO,SER,THR,TRP,TYR,VAL
-103.64479,-144.05084,-96.32388,-20.898663,-42.209396,-86.732124,-61.8063,-94.250015,-120.21092,-114.15016,-110.83058,-102.83398,-87.86372,-108.95144,-60.882004,-104.80428,-72.38179,-89.30439,-89.40854,-105.40664
38.190987,-21.976267,23.40687,5.219842,-87.60364,15.877221,10.074243,123.286255,-77.355995,-81.825806,-61.694454,51.521496,-116.44627,-135.63058,54.451405,64.39174,8.249126,-172.34897,-103.064255,-51.34562
-94.47961,-95.60264,-111.18826,-44.50922,-59.041107,-107.23302,-67.66514,-60.003555,-126.07719,-130.88344,-118.92675,-88.29742,-130.97646,-107.21053,-106.76136,-95.240486,-75.295715,-112.59459,-141.62718,-98.06153
-158.51053,-290.34912,-235.93301,-83.649025,33.39737,-229.52081,-173.29227,-167.40028,-234.38979,-157.94965,-176.49039,-199.84215,-140.79951,-150.10909,-239.5756,-196.49286,-108.32704,-147.97879,-233.25516,-109.37929
-145.02222,-169.97134,-144.5932,-124.31879,12.202564,-113.583305,-159.39888,-199.17679,-76.08258,-18.05983,-77.68006,-218.37317,6.2844367,-15.82412,-111.3562,-162.18015,-105.86417,20.361378,-62.65307,-67.228264
-85.348625,-38.564068,-29.56396,-29.084703,0.08390828,-22.349453,-41.089214,-123.127785,31.4711,2.4632711,-57.0429,-140.44458,45.055744,-3.1398187,-48.066628,-79.723755,-62.52486,39.943325,-9.377245,-45.13631
-53.515972,-155.5266,-52.049446,-32.77724,-157.30821,-80.73401,-50.828278,22.797335,-167.41261,-191.07497,-194.92143,-82.991035,-194.23933,-253.41032,-67.346825,-33.117146,-88.728424,-288.91513,-227.55992,-154.18568
30.25017,107.02836,75.39649,174.63763,5.618838,106.78728,165.22525,44.261417,-14.870582,-40.84624,-47.718296,208.01952,-39.490276,-60.814682,-4.2849154,86.13425,114.62848,-55.01928,-24.944252,1.5401491
143.18434,23.961443,61.640423,55.347416,65.87953,47.77463,59.355133,153.4828,6.635297,89.946175,135.70187,123.45825,35.79309,59.41146,81.09489,106.08403,79.16332,21.0848,70.37572,111.911095
-7.8210235,158.97707,54.69313,195.57419,83.81496,105.6044,168.01271,21.37072,28.265259,-9.506186,29.36138,188.82393,17.665491,49.364567,1.7897956,30.125727,103.18161,111.41073,107.89403,16.76823
-129.15767,-45.456623,-74.20324,-132.16418,-22.647398,-50.716297,-116.33083,-181.85693,68.68486,5.5942316,-36.277554,-206.35063,64.45102,48.98408,-25.5669,-139.09932,-120.22663,106.71158,37.3505,-65.88891
-187.29878,-44.428905,-175.48767,-37.246784,63.747986,-107.34156,-73.637924,-211.0546,-85.39385,-82.44536,-75.07208,-67.07825,-46.753902,23.32761,-196.11588,-188.03712,-57.868458,80.735344,-41.37166,-69.1591
-134.14337,89.679985,1.0336694,69.64172,-121.756676,67.79126,82.23912,-94.696365,-28.225138,-174.0274,-194.21901,112.21072,-119.45359,-159.22725,-43.978355,-35.076996,-10.905293,-97.96952,-73.48695,-169.54808
